ColumnID,QuestionLabel,QuestionText,QuestionSource
ErrorEstimate,Q7.8,What do you think are the chances that an innocent person in a case like this one would be falsely matched to the forensic evidence due to a laboratory error?,"{""ImportId"":""QID294""}"
Age,Q7.10,What is your age?,"{""ImportId"":""QID296_TEXT""}"
Gender,Q7.11,What is your gender?,"{""ImportId"":""QID297""}"
Educ,Q7.12,Highest Level of Education,"{""ImportId"":""QID298""}"
Income,Q7.13,What is your approximate annual family income?,"{""ImportId"":""QID299""}"
MathStat,Q7.14,"How much formal training (if any) have you had in mathematics and statistics? æ (Please
check all that apply)","{""ImportId"":""QID300""}"
ConclusionsData,Q7.15,How confident are you in your ability to draw,"{""ImportId"":""QID301""}"
,,"correct conclusions from numerical data, such as probabilities and frequencies?",
AbilityEvidence,Q7.16,How confident are you in your ability to evaluate scientific evidence?,"{""ImportId"":""QID302""}"
NativeEnglish,Q7.17,Is English your native language?,"{""ImportId"":""QID303""}"
CrimeVictim,Q7.18,"Have you ever been the victim of a serious crime (e.g. battery, robbery)?","{""ImportId"":""QID304""}"
Juror,Q7.19,Have you ever served on a jury?,"{""ImportId"":""QID305""}"
SupportDP,Q7.20,Do you support the death penalty?,"{""ImportId"":""QID306""}"
KnowSciMeth,Q7.21,How knowledgeable are you about the scientific method?,"{""ImportId"":""QID307""}"
KnowForSci,Q7.22,How knowledgeable are you about forensic science?,"{""ImportId"":""QID308""}"
PoliticalSpectrum,Q7.23,"On the spectrum of political beliefs, from liberal to conservative, where would you place yourself?","{""ImportId"":""QID309""}"
PoliticalParty,Q7.24,Which political party do you affiliate with (if any)? - Selected Choice,"{""ImportId"":""QID310""}"
PoliticalParty2,Q7.24_8_TEXT,Which political party do you affiliate with (if any)? - Other (which one?) - Text,"{""ImportId"":""QID310_8_TEXT""}"
ConfirmSubmit,Q8.2,"Thank you for taking part in this study. Your validation code for mTurk is [Field-mTurkCode]. We suggest you write your validation code down on a separate piece of paper. To confirm submission of your survey response, continue pressing the ""continue"" button until you get the ""end of the survey"" message.æ Then click one more time to submit your answers.","{""ImportId"":""QID223""}"
mTurkCode,mTurkCode,mTurkCode,"{""ImportId"":""mTurkCode""}"
TreatmentGroup,Treatment Group,Treatment Group,"{""ImportId"":""Treatment Group""}"
